rule,type,severity,effort,example_message,category
java:S4973,BUG,MAJOR,5min,"Strings and Boxed types should be compared using ""equals()"".",Logic Error
java:S5164,BUG,MAJOR,10min,"Call ""remove()"" on ""localP5Matcher"".",Concurrency
java:S5361,CODE_SMELL,CRITICAL,2min,"Replace this call to ""replaceAll()"" by a call to the ""replace()"" method.",Other
java:S5411,CODE_SMELL,MINOR,5min,Use a primitive boolean expression here.,Other
java:S5738,CODE_SMELL,MAJOR,15min,"Remove this call to a deprecated method, it has been marked for removal.",Other
java:S5843,CODE_SMELL,MAJOR,26min,Simplify this regular expression to reduce its complexity from 29 to the 20 allowed.,Regex Issues
java:S5869,CODE_SMELL,MAJOR,5min,Remove duplicates in this character class.,Regex Issues
java:S5993,CODE_SMELL,MAJOR,2min,"Change the visibility of this constructor to ""protected"".",Other
java:S5998,BUG,MAJOR,20min,Refactor this repetition that can lead to a stack overflow for large inputs.,Other
java:S6213,CODE_SMELL,MAJOR,5min,Rename this variable to not match a restricted identifier.,Other
java:S6353,CODE_SMELL,MINOR,5min,Use concise character class syntax '\\w' instead of '[A-Za-z0-9_]'.,Regex Issues
java:S6541,CODE_SMELL,INFO,0min,"A ""Brain Method"" was detected. Refactor it to reduce at least one of the following metrics: LOC from 68 to 64, Complexity from 25 to 14, Nesting Level from 4 to 2, Number of Variables from 12 to 6.",Other
java:S6548,CODE_SMELL,INFO,0min,A Singleton implementation was detected. Make sure the use of the Singleton pattern is required and the implementation is the right one for the context.,Other
java:S7158,CODE_SMELL,MINOR,2min,Use isEmpty() to check whether a string is empty or not.,Other
java:S899,BUG,MINOR,15min,"Do something with the ""boolean"" value returned by ""delete"".",Logic Error
javascript:S101,CODE_SMELL,MINOR,5min,"Rename class ""f0"" to match the regular expression ^[A-Z][a-zA-Z0-9]*$.",Naming Conventions
javascript:S1068,CODE_SMELL,MAJOR,5min,'#image_loading_identifier' is defined but never used.,Code Hygiene
javascript:S107,CODE_SMELL,MAJOR,20min,Arrow function has too many parameters (9). Maximum allowed is 7.,Code Complexity
javascript:S108,CODE_SMELL,MAJOR,5min,Empty block statement.,Error Handling
javascript:S1082,BUG,MINOR,5min,"Visible, non-interactive elements with click handlers must have at least one keyboard listener.",Accessibility
javascript:S1119,CODE_SMELL,MAJOR,30min,Refactor the code to remove this label and the need for it.,Other
javascript:S1121,CODE_SMELL,MAJOR,5min,"Extract the assignment of ""window.top.location.href"" from this expression.",Other
javascript:S1125,CODE_SMELL,MINOR,5min,Refactor the code to avoid using this boolean literal.,Code Style
javascript:S1126,CODE_SMELL,MINOR,2min,Replace this if-then-else flow by a single return statement.,Code Style
javascript:S1128,CODE_SMELL,MINOR,1min,Remove this unused import of 'LanguageSwitcher'.,Code Hygiene
javascript:S1134,CODE_SMELL,MAJOR,0min,Take the required action to fix the issue indicated by this comment.,Code Hygiene
javascript:S1135,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene
javascript:S1143,BUG,CRITICAL,30min,Unsafe usage of ReturnStatement.,Error Handling
javascript:S1186,CODE_SMELL,CRITICAL,5min,Unexpected empty method 'observe'.,Empty/Incomplete Code
javascript:S1199,CODE_SMELL,MINOR,10min,Nested block is redundant.,Other
javascript:S1219,CODE_SMELL,BLOCKER,10min,"Remove this misleading ""e"" label.",Other
javascript:S1226,BUG,MINOR,5min,"Introduce a new variable or use its initial value before reassigning ""g"".",Other
javascript:S125,CODE_SMELL,MAJOR,5min,Remove this commented out code.,Code Hygiene
javascript:S1264,CODE_SMELL,MINOR,5min,"Replace this ""for"" loop with a ""while"" loop.",Code Style
javascript:S128,CODE_SMELL,BLOCKER,10min,"End this switch case with an unconditional break, continue, return or throw statement.",Other
javascript:S1301,CODE_SMELL,MINOR,5min,"Replace this ""switch"" statement by ""if"" statements to increase readability.",Code Style
javascript:S1439,CODE_SMELL,MAJOR,20min,"Remove this ""e"" label.",Other
javascript:S1479,CODE_SMELL,MAJOR,30min,Reduce the number of non-empty switch cases from 41 to at most 30.,Code Complexity
javascript:S1481,CODE_SMELL,MINOR,5min,Remove the declaration of the unused 'defaultLocale' variable.,Code Hygiene
javascript:S1515,CODE_SMELL,MAJOR,30min,Make sure this function is not called after the loop completes.,Other
javascript:S1516,CODE_SMELL,MINOR,5min,Multiline support is limited to browsers supporting ES5 only.,Other
javascript:S1533,CODE_SMELL,MINOR,1min,"Remove this use of ""String"" constructor.",Other
javascript:S1534,BUG,MAJOR,5min,Duplicate name '@audius/common/api'.,Other
javascript:S1656,BUG,MAJOR,3min,'link.circularLinkType' is assigned to itself.,Logic Error
javascript:S1751,BUG,MAJOR,5min,Refactor this loop to do more than one iteration.,Logic Error
javascript:S1763,BUG,MAJOR,5min,Unreachable code.,Logic Error
javascript:S1764,BUG,MAJOR,2min,"Correct one of the identical sub-expressions on both sides of operator ""-""",Logic Error
javascript:S1788,CODE_SMELL,MAJOR,20min,Default parameters should be last.,Other
javascript:S1848,BUG,MAJOR,5min,"Either remove this useless object instantiation of ""Chart"" or use it.",Other
javascript:S1854,CODE_SMELL,MAJOR,1min,"Remove this useless assignment to variable ""defaultLocale"".",Code Hygiene
javascript:S1862,BUG,MAJOR,10min,This condition is covered by the one on line 248,Logic Error
javascript:S1871,CODE_SMELL,MAJOR,10min,This branch's code block is the same as the block for the branch on line 178.,Logic Error
javascript:S1874,CODE_SMELL,MINOR,15min,'getCollections' is deprecated.,API Usage
javascript:S1940,CODE_SMELL,MINOR,2min,Use the opposite operator (<=) instead.,Code Style
javascript:S1994,CODE_SMELL,CRITICAL,20min,"This loop's stop condition tests ""I, c"" but the incrementer updates ""w"".",Other
javascript:S2004,CODE_SMELL,CRITICAL,20min,Refactor this code to not nest functions more than 4 levels deep.,Code Complexity
javascript:S2094,CODE_SMELL,MINOR,5min,Unexpected class with only a constructor.,Empty/Incomplete Code
javascript:S2137,BUG,MAJOR,10min,"Do not use ""JSON"" to declare a parameter - use another name.",Naming Conventions
javascript:S2189,BUG,BLOCKER,15min,Correct this loop's end condition to not be invariant.,Logic Error
javascript:S2201,BUG,MAJOR,5min,"The return value of ""filter"" must be used.",Logic Error
javascript:S2234,CODE_SMELL,MAJOR,5min,Arguments 'e' and 'i' have the same names but not the same order as the function parameters.,Other
javascript:S2259,BUG,MAJOR,10min,"TypeError can be thrown as ""events"" might be null or undefined here.",Logic Error
javascript:S2301,CODE_SMELL,MAJOR,15min,"Provide multiple methods instead of using ""state"" to determine which action to take.",Other
javascript:S2310,CODE_SMELL,MAJOR,5min,"Remove this assignment of ""r"".",Other
javascript:S2392,CODE_SMELL,MAJOR,2min,Consider moving declaration of 'i' as it is referenced outside current binding context.,Other
javascript:S2430,CODE_SMELL,CRITICAL,5min,A constructor name should not start with a lowercase letter.,Naming Conventions
javascript:S2432,BUG,MAJOR,5min,Setter cannot return a value.,Other
javascript:S2589,CODE_SMELL,MAJOR,10min,This always evaluates to truthy. Consider refactoring this code.,Logic Error
javascript:S2681,CODE_SMELL,MAJOR,5min,This statement will not be executed in a loop; only the first statement will be. The rest will execute only once.,Logic Error
javascript:S2685,CODE_SMELL,MAJOR,30min,Avoid arguments.callee.,Other
javascript:S2703,CODE_SMELL,BLOCKER,2min,"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""desiredVisible"" to make it explicit.",Other
javascript:S2737,CODE_SMELL,MINOR,5min,Add logic to this catch clause or eliminate it and rethrow the exception automatically.,Error Handling
javascript:S2814,CODE_SMELL,MAJOR,20min,'i' is already defined.,Other
javascript:S2819,VULNERABILITY,CRITICAL,10min,Verify the origin of the received message.,Security
javascript:S2871,BUG,CRITICAL,10min,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.",Logic Error
javascript:S2990,CODE_SMELL,MINOR,5min,"Remove the use of ""this"".",Other
javascript:S2999,BUG,MAJOR,10min,Replace bootstrap.Modal with a constructor function.,Other
javascript:S3358,CODE_SMELL,MAJOR,5min,Extract this nested ternary operation into an independent statement.,Code Complexity
javascript:S3403,BUG,MAJOR,5min,"Remove this ""==="" check; it will always be false. Did you mean to use ""==""?",Logic Error
javascript:S3500,BUG,MAJOR,15min,"Correct this attempt to modify ""sourcePath"" or use ""let"" in its declaration.",Other
javascript:S3504,CODE_SMELL,CRITICAL,5min,"Unexpected var, use let or const instead.",Other
javascript:S3516,CODE_SMELL,BLOCKER,6min,Refactor this function to not always return the same value.,Other
javascript:S3531,BUG,MAJOR,5min,"Add a ""yield"" statement to this generator.",Other
javascript:S3579,CODE_SMELL,MAJOR,10min,"Make it an object if it must have named properties; otherwise, use a numeric index here.",Other
javascript:S3626,CODE_SMELL,MINOR,1min,Remove this redundant jump.,Code Hygiene
javascript:S3686,CODE_SMELL,MAJOR,15min,"Correct the use of this function; on line 340 it was called without ""new"".",Other
javascript:S3696,CODE_SMELL,MAJOR,20min,Expected an error object to be thrown.,Error Handling
javascript:S3699,BUG,MAJOR,5min,"Remove this use of the output from ""u""; ""u"" doesn't return anything.",Logic Error
javascript:S3735,CODE_SMELL,CRITICAL,5min,"Remove this use of the ""void"" operator.",Other
javascript:S3776,CODE_SMELL,CRITICAL,1h38min,Refactor this function to reduce its Cognitive Complexity from 108 to the 15 allowed.,Code Complexity
javascript:S3782,CODE_SMELL,MAJOR,5min,Verify that argument is of correct type: expected 'string' instead of '(string | number | boolean)[]'.,Other
javascript:S3799,BUG,MAJOR,5min,Unexpected empty object pattern.,Other
javascript:S3800,CODE_SMELL,MAJOR,20min,Refactor this function to always return the same type.,Other
javascript:S3863,CODE_SMELL,MINOR,1min,'~/store/items.js' imported multiple times.,Other
javascript:S3923,BUG,MAJOR,15min,Remove this conditional structure or edit its code blocks so that they're not all the same.,Logic Error
javascript:S3972,CODE_SMELL,CRITICAL,10min,"Move this ""if"" to a new line or add the missing ""else"".",Other
javascript:S4030,CODE_SMELL,MAJOR,2min,Either use this collection's contents or remove the collection.,Other
javascript:S4043,CODE_SMELL,MAJOR,5min,"Move this array ""sort"" operation to a separate statement or replace it with ""toSorted"".",Other
javascript:S4084,CODE_SMELL,MINOR,5min,Media elements such as <audio> and <video> must have a <track> for captions.,Accessibility
javascript:S4123,CODE_SMELL,CRITICAL,1min,Refactor this redundant 'await' on a non-promise.,Concurrency
javascript:S4138,CODE_SMELL,MINOR,5min,Expected a `for-of` loop instead of a `for` loop with this simple iteration.,Other
javascript:S4144,CODE_SMELL,MAJOR,15min,Update this function so that its implementation is not identical to the one on line 43.,Code Complexity
javascript:S4158,BUG,MINOR,15min,"Review this usage of ""customErrorMessages"" as it can only be empty here.",Other
javascript:S4165,CODE_SMELL,MAJOR,5min,"Review this redundant assignment: ""discount_proportion"" already holds the assigned value along all execution paths.",Other
javascript:S4426,VULNERABILITY,CRITICAL,2min,Use a modulus length of at least 2048 bits for rsa cipher algorithm.,Security
javascript:S4624,CODE_SMELL,MAJOR,10min,Refactor this code to not use nested template literals.,Other
javascript:S4634,CODE_SMELL,MAJOR,5min,"Replace this trivial promise with ""Promise.reject"".",Concurrency
javascript:S4822,BUG,MAJOR,5min,Consider using 'await' for the promise inside this 'try' or replace it with 'Promise.prototype.catch(...)' usage.,Logic Error
javascript:S4830,VULNERABILITY,CRITICAL,5min,Enable server certificate validation on this SSL/TLS connection.,Security
javascript:S5254,CODE_SMELL,MAJOR,5min,<html> elements must have the lang prop.,Accessibility
javascript:S5542,VULNERABILITY,CRITICAL,20min,Use a secure mode and padding scheme.,Security
javascript:S5842,BUG,MINOR,5min,Rework this part of the regex to not match the empty string.,Regex Issues
javascript:S5843,CODE_SMELL,MAJOR,1h28min,Simplify this regular expression to reduce its complexity from 60 to the 20 allowed.,Regex Issues
javascript:S5850,BUG,MAJOR,10min,Group parts of the regex together to make the intended operator precedence explicit.,Regex Issues
javascript:S5868,BUG,MAJOR,5min,Move this Unicode combined character '\u070f\u17b4' outside of the character class,Regex Issues
javascript:S5869,CODE_SMELL,MAJOR,5min,Remove duplicates in this character class.,Regex Issues
javascript:S6019,CODE_SMELL,MAJOR,10min,Fix this reluctant quantifier that will only ever match 0 repetitions.,Regex Issues
javascript:S6035,CODE_SMELL,MAJOR,5min,Replace this alternation with a character class.,Regex Issues
javascript:S6323,BUG,MAJOR,5min,Remove this empty alternative.,Regex Issues
javascript:S6324,BUG,MAJOR,5min,Remove this control character.,Regex Issues
javascript:S6325,CODE_SMELL,MINOR,1min,Use a regular expression literal instead of the 'RegExp' constructor.,Regex Issues
javascript:S6326,CODE_SMELL,MAJOR,5min,"If multiple spaces are required here, use number quantifier ({4}).",Regex Issues
javascript:S6353,CODE_SMELL,MINOR,5min,Use concise character class syntax '\d' instead of '[0-9]'.,Regex Issues
javascript:S6397,CODE_SMELL,MAJOR,5min,Replace this character class by the character itself.,Regex Issues
javascript:S6440,BUG,MAJOR,10min,"React Hook ""Form.useForm"" is called in function ""inputAreaRender"" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word ""use"".",React Patterns
javascript:S6441,CODE_SMELL,MAJOR,5min,"Remove this property or method or refactor ""LoginForm"", as ""onWooCommerceSocialSuccess"" is not used inside component body",React Patterns
javascript:S6443,BUG,MAJOR,5min,Change the argument of this setter to not use its matching state variable,React Patterns
javascript:S6477,CODE_SMELL,MAJOR,5min,"Missing ""key"" prop for element in iterator",React Patterns
javascript:S6478,CODE_SMELL,MAJOR,5min,Move this component definition out of the parent component and pass data as props.,React Patterns
javascript:S6479,CODE_SMELL,MAJOR,5min,Do not use Array index in keys,React Patterns
javascript:S6481,CODE_SMELL,MAJOR,5min,The object passed as the value prop to the Context provider changes every render. To fix this consider wrapping it in a useMemo hook.,React Patterns
javascript:S6509,CODE_SMELL,MINOR,5min,Redundant double negation.,Other
javascript:S6523,BUG,MAJOR,5min,Unsafe usage of optional chaining. If it short-circuits with 'undefined' the evaluation will throw TypeError.,Logic Error
javascript:S6534,BUG,MAJOR,5min,This number literal will lose precision at runtime.,Other
javascript:S6535,CODE_SMELL,MAJOR,5min,Unnecessary escape character: \/.,Other
javascript:S6544,BUG,MAJOR,5min,Promise-returning method provided where a void return was expected by extended/implemented type 'BaseSettingsTab'.,Logic Error
javascript:S6551,CODE_SMELL,MINOR,5min,'error' will use Object's default stringification format ('[object Object]') when stringified.,Other
javascript:S6557,CODE_SMELL,MAJOR,5min,Use 'String#startsWith' method instead.,Other
javascript:S6582,CODE_SMELL,MAJOR,5min,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",Code Style
javascript:S6594,CODE_SMELL,MINOR,5min,"Use the ""RegExp.exec()"" method instead.",Other
javascript:S6627,CODE_SMELL,MAJOR,5min,Do not use internal APIs of your dependencies,Other
javascript:S6635,CODE_SMELL,MINOR,5min,Unexpected return statement in constructor.,Other
javascript:S6638,BUG,MAJOR,5min,Unexpected constant truthiness on the left-hand side of a `&&` expression.,Logic Error
javascript:S6643,CODE_SMELL,MAJOR,5min,"Array prototype is read only, properties should not be added.",Other
javascript:S6644,CODE_SMELL,MINOR,5min,Unnecessary use of conditional expression for default assignment.,Other
javascript:S6645,CODE_SMELL,MINOR,5min,It's not necessary to initialize 'heartbeatTimeout' to undefined.,Other
javascript:S6647,CODE_SMELL,MINOR,5min,Useless constructor.,Other
javascript:S6650,CODE_SMELL,MINOR,5min,Destructuring assignment isLoading unnecessarily renamed.,Other
javascript:S6653,CODE_SMELL,MINOR,5min,Use 'Object.hasOwn()' instead of 'Object.prototype.hasOwnProperty.call()'.,API Usage
javascript:S6654,CODE_SMELL,MINOR,5min,The '__proto__' property is deprecated.,API Usage
javascript:S6660,CODE_SMELL,MAJOR,5min,'If' statement should not be the only statement in 'else' block,Other
javascript:S6661,CODE_SMELL,MAJOR,5min,Use an object spread instead of `Object.assign` eg: `{ ...foo }`.,Code Style
javascript:S6666,CODE_SMELL,MAJOR,5min,Use the spread operator instead of '.apply()'.,Code Style
javascript:S6671,CODE_SMELL,MAJOR,5min,Expected the Promise rejection reason to be an Error.,Logic Error
javascript:S6676,CODE_SMELL,MAJOR,5min,Unnecessary '.call()'.,Other
javascript:S6679,CODE_SMELL,MAJOR,5min,Use 'Number.isNaN()' to check for 'NaN' value,Other
javascript:S6746,CODE_SMELL,MAJOR,5min,Do not mutate state directly. Use setState().,React Patterns
javascript:S6747,CODE_SMELL,MAJOR,5min,"Unknown property 'fill-rule' found, use 'fillRule' instead",React Patterns
javascript:S6748,CODE_SMELL,MAJOR,5min,"Do not pass children as props. Instead, nest children between the opening and closing tags.",React Patterns
javascript:S6749,CODE_SMELL,MINOR,5min,A fragment with only one child is redundant.,React Patterns
javascript:S6754,CODE_SMELL,MINOR,5min,useState call is not destructured into value + setter pair,React Patterns
javascript:S6756,BUG,MAJOR,5min,Use callback in setState when referencing the previous state.,React Patterns
javascript:S6757,BUG,MAJOR,5min,Stateless functional components should not use `this`,React Patterns
javascript:S6767,CODE_SMELL,MINOR,5min,'sizes' PropType is defined but prop is never used,React Patterns
javascript:S6770,CODE_SMELL,MINOR,5min,Imported JSX component SVG must be in PascalCase,React Patterns
javascript:S6772,CODE_SMELL,MAJOR,5min,Ambiguous spacing after previous element a,Other
javascript:S6774,CODE_SMELL,MAJOR,5min,'children' is missing in props validation,React Patterns
javascript:S6775,CODE_SMELL,MINOR,5min,"defaultProp ""analyticsSection"" has no corresponding propTypes declaration.",React Patterns
javascript:S6788,CODE_SMELL,MAJOR,5min,Do not use findDOMNode. It doesn't work with function components and is deprecated in StrictMode.,React Patterns
javascript:S6791,CODE_SMELL,MAJOR,5min,UNSAFE_componentWillReceiveProps is unsafe for use in async rendering.,React Patterns
javascript:S6819,CODE_SMELL,MAJOR,5min,"Use <input type=""button"">, <input type=""image"">, <input type=""reset"">, <input type=""submit"">, or <button> instead of the ""button"" role to ensure accessibility across all devices.",Accessibility
javascript:S6825,CODE_SMELL,MAJOR,5min,"aria-hidden=""true"" must not be set on focusable elements.",Accessibility
javascript:S6827,CODE_SMELL,MINOR,5min,Anchors must have content and the content must be accessible by a screen reader.,Accessibility
javascript:S6836,CODE_SMELL,MAJOR,5min,Unexpected lexical declaration in case block.,Other
javascript:S6842,CODE_SMELL,MAJOR,5min,Non-interactive elements should not be assigned interactive roles.,Accessibility
javascript:S6844,CODE_SMELL,MAJOR,5min,Anchor used as a button. Anchors are primarily expected to navigate. Use the button element instead.,Accessibility
javascript:S6848,CODE_SMELL,MAJOR,5min,"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",Accessibility
javascript:S6853,CODE_SMELL,MAJOR,5min,A form label must be associated with a control.,Accessibility
javascript:S6859,CODE_SMELL,CRITICAL,5min,Do not import modules using an absolute path,Other
javascript:S6861,CODE_SMELL,CRITICAL,5min,"Exporting mutable 'let' binding, use 'const' instead.",Other
javascript:S6959,BUG,MAJOR,2min,"Add an initial value to this ""reduce()"" call.",Other
javascript:S7059,CODE_SMELL,CRITICAL,5min,Refactor this asynchronous operation outside of the constructor.,Concurrency
javascript:S878,CODE_SMELL,MAJOR,5min,Unexpected use of comma operator.,Other
javascript:S905,BUG,MAJOR,10min,Expected an assignment or function call and instead saw an expression.,Other
javascript:S930,BUG,CRITICAL,10min,"This function expects no arguments, but 1 was provided.",Other
kotlin:S100,CODE_SMELL,MINOR,5min,"Rename function ""testLoadAudioFromAnyFormat_loadsWavFile"" to match the regular expression ^[a-zA-Z][a-zA-Z0-9]*$",Naming Conventions
kotlin:S1066,CODE_SMELL,MAJOR,5min,"Merge this ""if"" statement with the nested one.",Other
kotlin:S107,CODE_SMELL,MAJOR,20min,"This function has 12 parameters, which is greater than the 7 authorized.",Code Complexity
kotlin:S108,CODE_SMELL,MAJOR,5min,Either remove or fill this block of code.,Error Handling
kotlin:S1125,CODE_SMELL,MINOR,5min,Remove the unnecessary Boolean literal.,Code Style
kotlin:S1128,CODE_SMELL,MINOR,1min,Remove this unused import.,Code Hygiene
kotlin:S1133,CODE_SMELL,INFO,10min,Do not forget to remove this deprecated code someday.,API Usage
kotlin:S1135,CODE_SMELL,INFO,0min,Complete the task associated to this TODO comment.,Code Hygiene
kotlin:S1144,CODE_SMELL,MAJOR,2min,"Remove this unused private ""loadHtmlFromResources"" method.",Code Hygiene
kotlin:S1172,CODE_SMELL,MAJOR,5min,"Remove this unused function parameter ""context"".",Code Hygiene
kotlin:S1186,CODE_SMELL,CRITICAL,5min,Add a nested comment explaining why this function is empty or complete the implementation.,Empty/Incomplete Code
kotlin:S1192,CODE_SMELL,CRITICAL,8min,"Define a constant instead of duplicating this literal ""audio/wav"" 4 times.",Code Complexity
kotlin:S1481,CODE_SMELL,MINOR,5min,"Remove this unused ""scriptUri"" local variable.",Code Hygiene
kotlin:S1871,CODE_SMELL,MAJOR,10min,This branch's code block is the same as the block for the branch on line 1408.,Logic Error
kotlin:S1874,CODE_SMELL,MINOR,15min,Deprecated code should not be used.,API Usage
kotlin:S3776,CODE_SMELL,CRITICAL,23min,Refactor this method to reduce its Cognitive Complexity from 33 to the 15 allowed.,Code Complexity
kotlin:S6218,BUG,MAJOR,5min,Override equals and hashCode to consider array content in the method.,Other
kotlin:S6510,CODE_SMELL,MAJOR,5min,"Move ""return"" statements from all branches before ""if"" statement.",Other
kotlin:S6511,CODE_SMELL,MAJOR,5min,"Merge chained ""if"" statements into a single ""when"" statement.",Other
kotlin:S6514,CODE_SMELL,MAJOR,5min,"Replace with interface delegation using ""by"" in the class header.",Other
kotlin:S6515,CODE_SMELL,MAJOR,5min,Singleton pattern should use object declarations or expressions.,Other
kotlin:S6517,CODE_SMELL,MAJOR,5min,Make this interface functional or replace it with a function type.,Other
kotlin:S6518,CODE_SMELL,MAJOR,5min,Replace function call with indexed accessor.,Other
kotlin:S6519,CODE_SMELL,MAJOR,5min,"Replace ""equals"" with binary operator ""=="".",Other
kotlin:S6530,CODE_SMELL,MAJOR,5min,Remove this unchecked cast.,Other
kotlin:S6532,CODE_SMELL,MAJOR,5min,"Replace this if expression with require(samplesInRange > 0) { ""Invalid sample range: contains no samples"" }.",Other
kotlin:S6615,CODE_SMELL,MAJOR,5min,Remove this useless initializer.,Other
kotlin:S6619,CODE_SMELL,MAJOR,5min,"Remove this useless non-null check, it always succeeds.",Other
kotlin:S6624,CODE_SMELL,MAJOR,5min,Do not hardcode version numbers.,Other
kotlin:S6625,CODE_SMELL,MAJOR,5min,Assign rootProject.name in settings.gradle.kts.,Other
kotlin:S6626,CODE_SMELL,MAJOR,5min,Define group and description for this task,Other
kotlin:S899,BUG,MINOR,15min,"Do something with the ""Boolean"" value returned by ""delete"".",Logic Error
kubernetes:S1135,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene
kubernetes:S1874,CODE_SMELL,MINOR,15min,"""Capabilities.KubeVersion.GitVersion"" is deprecated since Helm 3, use ""Capabilities.KubeVersion.Version"" instead.",API Usage
kubernetes:S6596,CODE_SMELL,MAJOR,5min,Use a specific version tag for the image.,Infrastructure
kubernetes:S6864,VULNERABILITY,MAJOR,5min,Specify a memory limit for this container.,Security
kubernetes:S6865,VULNERABILITY,MAJOR,1h,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",Security
kubernetes:S6867,VULNERABILITY,MAJOR,5min,Replace this wildcard with a clear list of allowed resources.,Security
kubernetes:S6870,VULNERABILITY,MAJOR,5min,Specify a storage limit for this container.,Security
kubernetes:S6873,CODE_SMELL,MAJOR,5min,Specify a memory request for this container.,Infrastructure
kubernetes:S6892,CODE_SMELL,MAJOR,5min,Specify a CPU request for this container.,Infrastructure
kubernetes:S6893,CODE_SMELL,MAJOR,1min,"Add a whitespace before ""}}"" in the template directive.",Infrastructure
kubernetes:S6897,CODE_SMELL,MAJOR,5min,Specify a storage request for this container.,Infrastructure
kubernetes:S6907,CODE_SMELL,MAJOR,1min,Resolve the duplication of this environment variable.,Infrastructure
php:S100,CODE_SMELL,MINOR,5min,"Rename function ""remote_provision_permission_check"" to match the regular expression ^[a-z][a-zA-Z0-9]*$.",Naming Conventions
php:S101,CODE_SMELL,MINOR,5min,"Rename class ""Test_REST_Token_Controller"" to match the regular expression ^[A-Z][a-zA-Z0-9]*$.",Naming Conventions
php:S1045,BUG,MAJOR,5min,Catch this exception only once; it is already handled by a previous catch clause.,Other
php:S105,CODE_SMELL,MINOR,2min,Replace all tab characters in this file by sequences of white-spaces.,Code Style
php:S1066,CODE_SMELL,MAJOR,5min,Merge this if statement with the enclosing one.,Other
php:S1068,CODE_SMELL,MAJOR,5min,"Remove this unused ""$removal_errors"" private field.",Code Hygiene
php:S107,CODE_SMELL,MAJOR,20min,"This function has 9 parameters, which is greater than the 7 authorized.",Code Complexity
php:S108,CODE_SMELL,MAJOR,5min,Either remove or fill this block of code.,Error Handling
php:S110,CODE_SMELL,MAJOR,4h30min,This class has 6 parents which is greater than 5 authorized.,Other
php:S1109,CODE_SMELL,MINOR,1min,Move this closing curly brace to the next line.,Code Style
php:S1110,CODE_SMELL,MAJOR,1min,Remove these useless parentheses.,Other
php:S1116,CODE_SMELL,MINOR,2min,Remove this empty statement.,Code Style
php:S112,CODE_SMELL,MAJOR,20min,Define and throw a dedicated exception instead of using a generic one.,Error Handling
php:S1125,CODE_SMELL,MINOR,5min,"Remove the literal ""false"" boolean value.",Code Style
php:S113,CODE_SMELL,MINOR,1min,Add a new line at the end of this file.,Code Style
php:S1131,CODE_SMELL,MINOR,1min,Remove the useless trailing whitespaces at the end of this line.,Code Style
php:S1134,CODE_SMELL,MAJOR,0min,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",Code Hygiene
php:S1135,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene
php:S114,CODE_SMELL,MINOR,10min,Rename this interface name to match the regular expression ^[A-Z][a-zA-Z0-9]*$.,Naming Conventions
php:S1142,CODE_SMELL,MAJOR,20min,"This method has 5 returns, which is more than the 3 allowed.",Code Complexity
php:S1144,CODE_SMELL,MAJOR,2min,"Remove this unused private ""set_globals"" method.",Code Hygiene
php:S115,CODE_SMELL,CRITICAL,2min,"Rename this constant ""NEWSPACK_BLOCKS__PLUGIN_DIR"" to match the regular expression ^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$.",Naming Conventions
php:S1155,CODE_SMELL,MINOR,2min,Use empty() to check whether the array is empty or not.,Other
php:S116,CODE_SMELL,MINOR,2min,"Rename this field ""$admin_id"" to match the regular expression ^[a-z][a-zA-Z0-9]*$.",Naming Conventions
php:S117,CODE_SMELL,MINOR,2min,"Rename this parameter ""$I"" to match the regular expression ^[a-z_][a-zA-Z0-9_]*$.",Naming Conventions
php:S1172,CODE_SMELL,MAJOR,5min,"Remove the unused function parameter ""$args"".",Code Hygiene
php:S1185,CODE_SMELL,MINOR,2min,"Remove this method ""__construct"" to simply inherit it.",Other
php:S1186,CODE_SMELL,CRITICAL,5min,"Add a nested comment explaining why this method is empty, throw an Exception or complete the implementation.",Empty/Incomplete Code
php:S1192,CODE_SMELL,CRITICAL,8min,"Define a constant instead of duplicating this literal ""/jetpack/v4/social-image-generator/generate-preview-token"" 3 times.",Code Complexity
php:S121,CODE_SMELL,CRITICAL,2min,Add curly braces around the nested statement(s).,Other
php:S1226,BUG,MINOR,5min,"Introduce a new variable instead of reusing the parameter ""$verified_errors"".",Other
php:S125,CODE_SMELL,MAJOR,5min,Remove this commented out code.,Code Hygiene
php:S127,CODE_SMELL,MAJOR,10min,"Refactor the code to avoid updating the loop counter ""$i"" within the loop body.",Other
php:S128,CODE_SMELL,BLOCKER,10min,"End this switch case with an unconditional break, continue, return or throw statement.",Other
php:S1301,CODE_SMELL,MINOR,5min,"Replace this ""switch"" statement with ""if"" statements to increase readability.",Code Style
